,address_shop,name_shop,rating_shop,lat_shop,lng_shop,supermarket_brand
80,"Badenerstrasse 621, 8048 Zürich, Switzerland",Denner Discount,4.5,47.3857711,8.492477599999999,Denner
81,"Hofwiesenstrasse 135, 8057 Zürich, Switzerland",Denner Express,3.9,47.3990363,8.5325936,Denner
82,"Limmattalstrasse 177, 8049 Zürich, Switzerland",Denner Express,4.1,47.401811200000004,8.4994619,Denner
83,"Regensdorferstrasse 16, Einkaufszentrum, 8049 Zürich, Switzerland",Denner Discount,4.3,47.40328299999999,8.498274499999999,Denner
84,"Regensbergstrasse 309, 8050 Zürich, Switzerland",Denner Discount,4.0,47.4114294,8.526571699999998,Denner
85,"Hohlstrasse 610, 8048 Zürich, Switzerland",Denner Discount,4.2,47.3919231,8.4848724,Denner
86,"Schwamendingenstrasse 24, 8050 Zürich, Switzerland",Denner Discount,4.2,47.40736709999999,8.548429800000001,Denner
87,"Winterthurerstrasse 549, 8051 Zürich, Switzerland",Denner Discount,4.2,47.4045485,8.574454,Denner
88,"Witikonerstrasse 299, Einkaufszentrum Witikon, 8053 Zürich, Switzerland",Denner Discount,4.3,47.3584599,8.5862955,Denner
89,"Scheffelstrasse 12, 8037 Zürich, Switzerland",Coop Supermarkt Zürich Scheffelstrasse,4.0,47.3938032,8.5295861,Denner
90,"Röschibachstrasse 22, 8037 Zürich, Switzerland",Coop Supermarkt Zürich Wipkingerbrücke,3.9,47.392635600000006,8.524665299999999,Denner
91,"Tiefackerstrasse 20, 8134 Adliswil, Switzerland",Denner Discount,4.1,47.3153539,8.530547199999999,Denner
92,"Soodstrasse 52, 8134 Adliswil, Switzerland",Denner Express,4.0,47.320401000000004,8.521865,Denner
93,"Florastrasse 10 Ladenzentrum Bahnhof, 8134 Adliswil, Switzerland",Denner Discount,4.0,47.3122946,8.5243374,Denner
94,"In Böden 174, 8046 Zürich, Switzerland",Denner Discount,4.3,47.420634299999996,8.5082811,Denner
95,"Ladengasse 1, 8102 Oberengstringen, Switzerland",Denner Discount,4.0,47.4085506,8.463514100000001,Denner
96,"Schaffhauserstrasse 491, 8052 Zürich, Switzerland",Denner Discount,4.1,47.42114829999999,8.549409599999999,Denner
97,"Thurgauerstrasse 106, 8152 Opfikon, Switzerland",Denner Discount,4.2,47.421132799999995,8.557648,Denner
98,"Glattalstrasse 76, 8052 Zürich, Switzerland",Denner Express,4.0,47.4272499,8.5467359,Denner
99,"Winterthurerstrasse 524, 8051 Zürich, Switzerland",Denner Discount,5.0,47.4039316,8.5726414,Denner
100,"Wallisellerstrasse 114/116, 8152 Opfikon, Switzerland",Denner Partner,4.3,47.428244,8.573966,Denner
101,"Bahnhofstrasse 9, 8304 Wallisellen, Switzerland",Denner Discount,4.2,47.4143811,8.5910411,Denner
102,"Dübendorfstrasse 271, 8051 Zürich, Switzerland",Denner Discount,4.4,47.4000868,8.5878648,Denner
103,"Schaffhauserstrasse 141, 8152 Opfikon, Switzerland",Denner Discount,4.2,47.436237,8.568358,Denner
104,"Neue Winterthurerstrasse 99, 8304 Wallisellen, Switzerland",Denner Discount,4.2,47.4078875,8.5965549,Denner
105,"Saatlenstrasse 12, 8051 Zürich, Switzerland",Coop Supermarkt Zürich Schwamendingen,3.9,47.4049187,8.571667800000002,Denner
106,"Hirzenbachstrasse 40, 8051 Zürich, Switzerland",Coop Supermarkt Zürich Hirzenbachstrasse,3.7,47.40348529999999,8.5893299,Denner
107,"Bahnhofpl. 8a, 8152 Opfikon, Switzerland",Denner Express,5.0,47.431189200000006,8.5593231,Denner
108,"Witikonerstrasse 409, 8053 Zürich, Switzerland",Coop Supermarkt Zürich Witikonerstrasse,4.0,47.3602256,8.594670899999999,Denner
109,"Löwenstrasse 31, 8001 Zürich, Switzerland",Alnatura Bio Super Markt,4.6,47.375062899999996,8.5361977,Alnatura
110,"Sihlquai, 8001 Zürich, Switzerland",Alnatura Bio Super Markt,4.5,47.3784018,8.5356141,Alnatura
111,"Mühlegasse 11, 8001 Zürich, Switzerland",Alnatura Bio Super Markt,3.8,47.37440479999999,8.544026800000001,Alnatura
112,"Kappenbühlweg 5, 8049 Zürich, Switzerland",Alnatura Bio Super Markt,4.4,47.4033686,8.4980183,Alnatura
113,"Kreuzpl. 20, 8008 Zürich, Switzerland",Alnatura Bio Super Markt,4.6,47.3643843,8.5541235,Alnatura
114,"Einkaufszentrum Glatt, Neue Winterthurerstrasse 99, 8304 Wallisellen, Switzerland",Alnatura Bio Super Markt,4.0,47.408273799999996,8.5950007,Alnatura
115,"Bahnhofstrasse 28, 8180 Bülach, Switzerland",Alnatura Bio Super Markt,4.4,47.52115930000001,8.5400023,Alnatura
116,"Baarerstrasse 22, 6300 Zug, Switzerland",Alnatura Bio Super Markt,4.2,47.1732512,8.5170265,Alnatura
117,"Industriestrasse 11, 8400 Winterthur, Switzerland",Alnatura Bio Super Markt,4.5,47.4965985,8.753204799999999,Alnatura
118,"Löwenstrasse 30, 8001 Zürich, Switzerland",REFORMHAUS,4.7,47.3746073,8.536167299999999,Alnatura
119,"Zürichstrasse 20, 8610 Uster, Switzerland",Alnatura Bio Super Markt,4.3,47.349549100000004,8.715725299999999,Alnatura
120,"Hottingerstrasse 2, 8032 Zürich, Switzerland",SPAR express Zürich Schauspielhaus,4.0,47.37035119999999,8.549401,Spar
121,"Dolderstrasse 5, 8032 Zürich, Switzerland",SPAR Supermarkt Dolderstrasse,4.0,47.3703218,8.556850500000001,Spar
122,"Toblerpl. 5, 8044 Zürich, Switzerland",SPAR express Zürich Toblerplatz,4.0,47.379098799999994,8.5597882,Spar
123,"Hardturmstrasse 126, 8005 Zürich, Switzerland",SPAR express Zürich Hardturmstrasse,3.5,47.3935571,8.513138000000001,Spar
124,"Langstrasse 124, 8004 Zürich, Switzerland",SPAR Supermarkt Gerlafingen,0.0,47.37952139999999,8.5277843,Spar
125,"Schaffhauserstrasse 239, 8057 Zürich, Switzerland",Eurospar,4.3,47.40321779999999,8.5469741,Spar
126,"Regensbergstrasse 300, 8050 Zürich, Switzerland",Spar Supermarkt,3.9,47.41156429999999,8.527926800000001,Spar
127,"Freilagerstrasse 51, 8047 Zürich, Switzerland",SPAR Supermarkt Zollfreilager,4.2,47.380042700000004,8.4896586,Spar
