geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,formatted_address,name,rating,search_name,search_postal_code
47.35084907989272,8.71703687989272,"Zürichstrasse 20, 8610 Uster, Switzerland",ALNATURA BIO SUPER MARKT,4.3,ALNATURA, 8008
47.37162062989272,8.55058632989272,"Hottingerstrasse 2, 8032 Zürich, Switzerland",SPAR EXPRESS ZÜRICH SCHAUSPIELHAUS,4.0,SPAR, 8001
47.37167162989272,8.55820032989272,"Dolderstrasse 5, 8032 Zürich, Switzerland",SPAR SUPERMARKT DOLDERSTRASSE,4.0,SPAR, 8001
47.38047902989272,8.561077629892722,"Toblerpl. 5, 8044 Zürich, Switzerland",SPAR EXPRESS ZÜRICH TOBLERPLATZ,4.0,SPAR, 8001
47.36176082989272,8.564698829892722,"Forchstrasse 140, 8032 Zürich, Switzerland",SPAR SUPERMARKT ZÜRICH FORCHSTRASSE,3.8,SPAR, 8001
47.39492837989272,8.514401879892722,"Hardturmstrasse 126, 8005 Zürich, Switzerland",SPAR EXPRESS ZÜRICH HARDTURMSTRASSE,3.5,SPAR, 8001
47.38088857989272,8.529061029892723,"Langstrasse 124, 8004 Zürich, Switzerland",SPAR SUPERMARKT GERLAFINGEN,0.0,SPAR, 8001
47.40467042989273,8.54861667989272,"Schaffhauserstrasse 239, 8057 Zürich, Switzerland",EUROSPAR,4.3,SPAR, 8001
47.41285847989272,8.529423979892721,"Regensbergstrasse 300, 8050 Zürich, Switzerland",SPAR SUPERMARKT,3.9,SPAR, 8001
47.38153697989272,8.49101922989272,"Freilagerstrasse 51, 8047 Zürich, Switzerland",SPAR SUPERMARKT ZOLLFREILAGER,4.2,SPAR, 8001
47.42434332989272,8.500725479892722,"Wehntalerstrasse 634, 8046 Zürich, Switzerland",SPAR SUPERMARKT,4.1,SPAR, 8001
47.39860142989272,8.432379729892723,"Badenerstrasse 104, 8952 Schlieren, Switzerland",SPAR SUPERMARKT SCHLIEREN,4.6,SPAR, 8001
47.39107447989272,8.618732679892723,"u. Geerenstrasse 1, 8600 Dübendorf, Switzerland",SPAR SUPERMARKT DÜBENDORF,3.9,SPAR, 8001
47.30747332989273,8.557514879892722,"Pilgerweg 45, 8803 Rüschlikon, Switzerland",SPAR SUPERMARKT RÜSCHLIKON,4.2,SPAR, 8001
47.44554122989273,8.580140329892723,"Schaffhauserstrasse 60, 8302 Kloten, Switzerland",SPAR SUPERMARKT BRAMEN,4.0,SPAR, 8001
47.44922972989272,8.585721529892721,"Breitistrasse 24, 8302 Kloten, Switzerland",SPAR SUPERMARKT KLOTEN BREITISTRASSE,4.1,SPAR, 8001
47.42442952989271,8.619927779892723,"Bahnhofstrasse 42, 8305 Dietlikon, Switzerland",SPAR SUPERMARKT DIETLIKON,4.3,SPAR, 8001
47.38328482989272,8.653953929892722,"Bahnhofstrasse 1, 8603 Schwerzenbach, Switzerland",SPAR SUPERMARKT SCHWERZENBACH,4.1,SPAR, 8001
47.31632702989272,8.471023679892724,"Dorfstrasse 15, 8906 Bonstetten, Switzerland",SPAR SUPERMARKT BONSTETTEN,4.1,SPAR, 8001
47.44065307989271,8.44275237989272,"Regensdorferstrasse 22, 8108 Dällikon, Switzerland",SPAR SUPERMARKT DÄLLIKON,4.2,SPAR, 8002
47.42131042989272,8.436059979892722,"Regensdorferstrasse 2, 8104 Weiningen, Switzerland",SPAR SUPERMARKT WEININGEN,4.3,SPAR, 8003
47.43797252989272,8.47495107989272,"Althardstrasse 10, 8105 Regensdorf, Switzerland",SPAR,0.0,SPAR, 8037
47.46561457989272,8.527885729892718,"Oberglatterstrasse 35, 8153 Rümlang, Switzerland",SPAR EXPRESS RÜMLANG,4.1,SPAR, 8037
47.24497762989272,8.46302097989272,"Bahnhofstrasse 6/8, 8932 Mettmenstetten, Switzerland",SPAR SUPERMARKT METTMENSTETTEN,4.2,SPAR, 8041
47.38326692989271,8.425082729892722,"Bachstrasse 11, 8902 Urdorf, Switzerland",SPAR SUPERMARKT URDORF,4.2,SPAR, 8045
47.44674187989273,8.465401479892721,"Pumpwerkstrasse 56, 8105 Regensdorf, Switzerland",SPAR,4.2,SPAR, 8049
47.37665627989272,8.537678979892721,"Löwenstrasse 31-35, 8001 Zürich, Switzerland",MIGROS,4.3,MIGROS, 8001
47.37977407989272,8.541851179892724,"Hauptbahnhof, 8001 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8001
47.37850612989273,8.540598779892722,"ShopVille - Zürich Hauptbahnhof, 8001 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8001
47.37972157989272,8.537055329892722,"Sihlpassage, 8004 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8001
47.36667517989272,8.549208329892721,"Falkenstrasse 19 - 21, 8008 Zürich, Switzerland",MIGROS,4.2,MIGROS, 8001
47.36965767989272,8.53561527989272,"Stockerstrasse 47, 8002 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8001
47.38681302989272,8.532758629892719,"Limmatstrasse 152, 8005 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8001
47.36585892989272,8.555126929892722,"Kreuzpl. 20, 8008 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8001
47.36553922989273,8.532502079892723,"Tessinerpl. 10, 8002 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8001
47.37638112989272,8.52443992989272,"Wengistrasse 7, 8004 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8001
47.38737157989272,8.549926579892722,"Winterthurerstrasse 2/4, 8006 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8001
47.37953822989272,8.537432479892722,"Sihlpassage, 8004 Zürich, Switzerland",MIGROS TAKE AWAY,3.9,MIGROS, 8001
47.37981947989272,8.541840179892723,"Bahnhofstrasse, 8001 Zürich, Switzerland",MIGROS,2.9,MIGROS, 8001
47.37139032989272,8.52139712989272,"Birmensdorferstrasse 140, 8003 Zürich, Switzerland",MIGROS SUPERMARKT,4.2,MIGROS, 8001
47.39255727989271,8.520145979892723,"Hardturmstrasse 11, 8005 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8001
47.35984097989272,8.519047979892722,"BRUNAUPARK, Giesshübelstrasse 65, 8045 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8002
47.34602447989273,8.531280779892723,"Etzelstrasse 3, 8038 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8002
47.37124452989272,8.510165079892722,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",MIGROS SUPERMARKT,4.3,MIGROS, 8002
47.39167557989271,8.51036957989272,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",MIGROS-SUPERMARKT,4.2,MIGROS, 8002
47.38042502989272,8.510100079892721,"Badenerstrasse 376, 8004 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8002
47.37633937989271,8.524508879892721,"Wengistrasse 7, 8004 Zürich, Switzerland",MIGROS TAKE AWAY,3.0,MIGROS, 8004
47.39503192989272,8.530678929892721,"Scheffelstrasse 3, 8037 Zürich, Switzerland",MIGROS SUPERMARKT,4.1,MIGROS, 8004
47.39196112989272,8.50824555,"Pfingstweidstrasse 101, 8005 Zürich, Switzerland",GENOSSENSCHAFT MIGROS ZÜRICH,3.8,MIGROS, 8005
